,0
0,Arizona
1,Colorado
2,Connecticut
3,Iowa
4,Louisiana
5,Maryland
6,Massachusetts
7,Mississippi
8,Missouri
9,New Hampshire
10,Tennessee
11,Vermont
12,Wyoming
